id_resource;id_type;full_name;name;code;description;color;notes;currency
1;1;Активы;Активы;;Активы;;;RUB
2;1;Активы:Текущие активы;Текущие активы;;Текущие активы;;;RUB
3;2;Активы:Текущие активы:Наличные;Наличные;;Наличные;;;RUB
4;1;Активы:Текущие активы:Брокерские счета;Брокерские счета;;;;Брокерские счета;RUB
5;1;Активы:Текущие активы:Брокерские счета:Брокерский счет Райффанзен;Брокерский счет Райффанзен;;;;;RUB
6;1;Активы:Текущие активы:Брокерские счета:Брокерский счет Райффанзен:Облигации;Облигации;Облигации;;;;RUB
7;1;Активы:Текущие активы:Дебетовые карты;Дебетовые карты;;Дебетовые карты;;;RUB
8;1;Активы:Текущие активы:Дебетовые карты:Дебетовая карта Райффазен МИР;Дебетовая карта Райффазен МИР;;;;;RUB
9;1;Активы:Текущие активы:Дебетовые карты:Дебетовая карта Сбербанк Visa;Дебетовая карта Сбербанк Visa;;;;;RUB
10;3;Активы:Текущие активы:Депозитный счет;Депозитный счет;;Депозитный счет;;;RUB
11;3;Активы:Текущие активы:Депозитный счет:Накопительный счет Райффазен;Накопительный счет Райффазен;;;;;RUB
12;3;Активы:Текущие активы:Депозитный счет:Накопительный счет СберБанк;Накопительный счет СберБанк;;;;;RUB
13;4;Обязательства;Обязательства;;Долги;;;RUB
14;5;Обязательства:Кредитная карта;Кредитная карта;;Кредитная карта;;;RUB
15;6;Доходы;Доходы;;Доходы;;;RUB
16;6;Доходы:Другие доходы;Другие доходы;;Другие доходы;;;RUB
17;6;Доходы:Полученные подарки;Полученные подарки;;Полученные подарки;;;RUB
18;6;Доходы:Процентный доход;Процентный доход;;Процентный доход;;;RUB
19;6;Доходы:Процентный доход:Депозитные проценты;Депозитные проценты;;Депозитные проценты;;;RUB
20;6;Доходы:Процентный доход:Другие процентные доходы;Другие процентные доходы;;Другие доходы с процентов;;;RUB
21;6;Доходы:Процентный доход:Купонный доход по облигациям;Купонный доход по облигациям;;Купоны;;;RUB
22;6;Доходы:Работа;Работа;;Работа;rgb(138,226,52);;RUB
23;6;Доходы:Работа:Заработная плата;Заработная плата;;Заработная плата;rgb(138,226,52);;RUB
24;6;Доходы:Работа:Отпускные;Отпускные;;Отпускные;rgb(138,226,52);;RUB
25;6;Доходы:Работа:Премия;Премия;;Премия;rgb(138,226,52);;RUB
26;7;Расходы;Расходы;;Расходы;;;RUB
27;7;Расходы:Куриво;Куриво;10;Куриво;;;RUB
28;7;Расходы:Медицинские расходы;Медицинские расходы;20;Медицинские расходы;;;RUB
29;7;Расходы:Налоги;Налоги;30;Налоги;;;RUB
30;7;Расходы:Налоги:Другие налоги;Другие налоги;;Другие налоги;;;RUB
31;7;Расходы:Налоги:Земельный налог;Земельный налог;;Земельный налог;;;RUB
32;7;Расходы:Налоги:Налог на имущество;Налог на имущество;;Налог на имущество;;;RUB
33;7;Расходы:Налоги:Подоходный налог;Подоходный налог;;Подоходный налог;;;RUB
34;7;Расходы:Образование;Образование;40;Образование;;;RUB
35;7;Расходы:Образование:Книги;Книги;;Книги;;;RUB
36;7;Расходы:Образование:Подписки;Подписки;;Подписки;;;RUB
37;7;Расходы:Образование:Учёба;Учёба;;Учёба;;;RUB
38;7;Расходы:Одежда;Одежда;50;Одежда;;;RUB
39;7;Расходы:Подарки;Подарки;60;Подарки;;;RUB
40;7;Расходы:Потерянные деньги;Потерянные деньги;70;Не нахожу в балансе;;;RUB
41;7;Расходы:Проживание;Проживание;80;Проживание;;;RUB
42;7;Расходы:Проживание:Коммунальные услуги;Коммунальные услуги;;Коммунальные услуги;;;RUB
43;7;Расходы:Проживание:Коммунальные услуги:Горячая вода и отопление;Горячая вода и отопление;;Вода;;;RUB
44;7;Расходы:Проживание:Коммунальные услуги:ЖКУ;ЖКУ;;Жилищьно-коммунальные услуги;;;RUB
45;7;Расходы:Проживание:Ремонт;Ремонт;;Ремонт;;;RUB
46;7;Расходы:Пропитание;Пропитание;90;Пропитание;;;RUB
47;7;Расходы:Пропитание:Еда в не дома;Еда в не дома;;Столовая, кафе;;;RUB
48;7;Расходы:Пропитание:Продукты;Продукты;;Продукты;;;RUB
49;7;Расходы:Разное;Разное;100;Разное;;;RUB
50;7;Расходы:Разное:Банковское обслуживание;Банковское обслуживание;;Банковское обслуживание;;;RUB
51;7;Расходы:Разное:Благотворительность;Благотворительность;;Благотворительность;;;RUB
52;7;Расходы:Разное:Разное;Разное;;Разное;;;RUB
53;7;Расходы:Расходы на Котика;Расходы на Котика;110;Покупки для Маруси;;;RUB
54;7;Расходы:Свободное время;Свободное время;120;Свободное время;;;RUB
55;7;Расходы:Свободное время:Музыка и кино;Музыка и кино;;Музыка и кино;;;RUB
56;7;Расходы:Свободное время:Отдых;Отдых;;Отдых;;;RUB
57;7;Расходы:Свободное время:Путешествия;Путешествия;;Путешествия;;;RUB
58;7;Расходы:Свободное время:Спорт;Спорт;;Спорт;;;RUB
59;7;Расходы:Свободное время:Хобби;Хобби;;Хобби;;;RUB
60;7;Расходы:Связь и телевидение;Связь и телевидение;130;Связь и телевидение;;;RUB
61;7;Расходы:Связь и телевидение:Телефон;Телефон;;Телефон;;;RUB
62;7;Расходы:Страхование;Страхование;140;Страхование;;;RUB
63;7;Расходы:Страхование:Медицинское страхование;Медицинское страхование;;Медицинское страхование;;;RUB
64;7;Расходы:Страхование:Пенсионное страхование;Пенсионное страхование;;Пенсионное страхование;;;RUB
65;7;Расходы:Страхование:Социальное страхование;Социальное страхование;;Социальное страхование;;;RUB
66;7;Расходы:Страхование:Страхование жизни;Страхование жизни;;Страхование жизни;;;RUB
67;7;Расходы:Страхование:Страхование имущества;Страхование имущества;;Страхование имущества;;;RUB
68;7;Расходы:Техника;Техника;150;Техника;;;RUB
69;7;Расходы:Транспорт;Транспорт;160;Транспорт;;;RUB
70;7;Расходы:Транспорт:Общественный транспорт;Общественный транспорт;;Общественный транспорт;;;RUB
71;7;Расходы:Хозтовары;Хозтовары;170;Хозтовары;;;RUB
72;8;Начальное сальдо;Начальное сальдо;;Остаток средств на начало периода;;;RUB
